downstream_query_id,reranker,gold_at_3,generated_answer,reference_answer,answer_hit,exact_match,token_f1,selected_top3_passage_ids,selected_top3_passage_texts,gold_answer_context_rank,failure_type,prompt_style,prompt_version,query_id,evidence_utilization_candidate,priority_gold_rank_1
msmarco_test_000008,bm25,True,5'7 and 5'5,Lebron James' dad is 5'7 and his mom is 5'5.,False,0,0.4615384615384615,"['msmarco_test_000008_pos_4', 'msmarco_test_000008_neg_1', 'msmarco_test_000008_neg_2']","[""I'm always interested in the height of really tall people's parents because I'm wondering if their height is genetic. Kobe Bryant's father's height is 6'9 so his height is obviously genetic. I heard that Lebron James' dad is 5'7 and his mom is 5'5 though so I don't know how he got so tall."", ""How tall was LeBron James at the age of 14? lebron James was 6 feet getting into the 8th grade.i am 13 years old right now, and on my 13th birthday, i was 5'6 1/2'', my 14th birthday is in July this year, and i am a … lready a legit 6 feet. it really depends on growth spurts."", 'Lebron James is 6 feet 8 inches tall. For those that use the metric system he is 2.03 meters tall. 2.03 meters is equal to 203 centimeters.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000008,True,True
msmarco_test_000011,bm25,True,Lisdexamfetamine dimesylate is a white to off-white powder that is soluble in water with a molecular weight of approximately 485. It is a prodrug of d-amphetamine and is used as a treatment for attention deficit hyperactivity disorder (ADHD). The active ingredient in Vyvan,The chemical structure,False,0,0.0,"['msmarco_test_000011_neg_5', 'msmarco_test_000011_pos_1', 'msmarco_test_000011_neg_9']","['The chemical structure is: Lisdexamfetamine dimesylate is a white to off-white powder that is soluble in water (792 mg/mL). Vyvanse capsules contain 10 mg, 20 mg, 30 mg, 40 mg, 50 mg, 60 mg, and 70 mg of lisdexamfetamine dimesylate. Inactive ingredients: microcrystalline cellulose, croscarmellose sodium, and magnesium stearate.', 'The chemical structure is: Lisdexamfetamine dimesylate is a white to off-white powder that is soluble in water (792 mg/mL). VYVANSE capsules contain 10 mg, 20 mg, 30 mg, 40 mg, 50 mg, 60 mg, and 70 mg of lisdexamfetamine dimesylate. Inactive ingredients: microcrystalline cellulose, croscarmellose sodium, and magnesium stearate. CNS stimulants (amphetamines and methylphenidate-containing products), including VYVANSE, have a high potential for abuse and dependence. Assess the risk of abuse prior to prescribing and monitor for signs of abuse and dependence while on therapy [see WARNINGS AND PRECAUTIONS, and Drug Abuse and Dependence].', ""3.2.1 Pharmacology. Vyvanse ™ (lisdexamfetamine dimesylate) is a prodrug of d-amphetamine. After oral administration, Vyvanse ™ is converted to d-amphetamine, the compound responsible for the drug's therapeutic activity in the treatment of ADHD; and L-lysine, a naturally occurring essential amino acid. 3.3.1 Pharmacodynamics. Vyvanse ™ (lisdexamfetamine dimesylate), is a prodrug of d-amphetamine. After oral administration, Vyvanse ™ is converted to d-amphetamine, the compound responsible for the drug's therapeutic activity.""]",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000011,True,True
msmarco_test_000013,bm25,True,"The Romanian flag's colors represent the historical unification of Moldova and Walachia into Romania in 1859, with red symbolizing bloodshed during the union process, yellow representing the sun, and blue signifying sky and sea. Additionally, the flag includes a coat of arms in the center. The","The red, yellow and blue stripes represent Moldova and Walachia.",False,0,0.3404255319148936,"['msmarco_test_000013_pos_5', 'msmarco_test_000013_neg_4', 'msmarco_test_000013_neg_8']","['Romanian Flag Meaning: The red, yellow and blue stripes represent Moldova and Walachia, the two principalities that united to form Romania in 1859. The colors are found in the coat of arms of these former states. Romanian Flag History: The current Romanian flag was adopted on December 27, 1989. There are four countries that use a blue-yellow-red vertical striped flag. They are Moldova, Andorra, Chad and Romania. The Moldovan flag is distinguished by the addition of a coat of arms, but the colors are related to and similarly derived from those of the Romanian flag.', 'The national flag of Romania (Romanian: drapelul Romaniei) româniei is a tricolor with vertical, stripes beginning from the: flagpole, blue yellow and. Red it has a-width length ratio of:2. 3 It has a width-length ratio of 2:3. The Constitution of Romania provides that The flag of Romania is tricolor; the colors are arranged vertically in the following order from the flagpole: blue, yellow, red.', 'The flag of Moldova is related to the Romanian tricolor, except it has a 1:2 ratio, a lighter shade of blue, a slightly different tint of yellow, and the Moldavian coat of arms in the middle. The civil ensign of Belgium uses black rather than blue. It has a width-length ratio of 2:3. The Constitution of Romania provides that The flag of Romania is tricolor; the colors are arranged vertically in the following order from the flagpole: blue, yellow, red.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000013,True,True
msmarco_test_000043,bm25,True,"Dreams are representations in the sensory environments of our mind that reflect thoughts, feelings, and awareness from our everyday lives, including what has been occupying our minds in the day or two prior to the dream.",Dreams are a representation in the sensory environments of our mind.,False,0,0.38095238095238093,"['msmarco_test_000043_pos_9', 'msmarco_test_000043_neg_4', 'msmarco_test_000043_neg_8']","['Dream Psychology. One item that Carl Jung felt was a window into our subconscious and that could be used in analytical processes was the dream and dream psychology. Dreams are a representation in the sensory environments of our mind. They reflect thoughts, feelings and awareness. They reflect our everyday lives in that they are expressing what has been occupying our minds in the day or two prior to the dream.', ""Your dreams might influence your final choice, suggests new research. Scientists disagree as to what extent dreams reflect subconscious desires, but new research reported in the Journal of Personality and Social Psychology (Vol. 96, No. 2) concludes that dreams do influence people's decisions and attitudes. Social psychologists Carey Morewedge, PhD, at Carnegie Mellon University, and Michael Norton, PhD, at Harvard University, conducted studies to find out how people respond to their dreams."", 'Because I make dream interpretation a key part of my psychotherapeutic work, Ill offer some comments here about this work. Freud: The Royal Road. Sigmund Freud once called dreams the royal road to. . . the unconscious, and I think that statement will remain true in psychology forever. Of course, there are other ideas about dreams besides Freudian theories. Some persons believe that dreams have certain fixed meanings. If you dream about oranges, it means good health; if you dream about onions, it means hard work, and so on.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000043,True,True
msmarco_test_000048,bm25,True,"The cost of franchises ranges widely depending on the segment chosen and the brand selected, typically ranging from less than $10,000 to over $5 million, with the majority falling between $50,000 and $200,000. Costs can also vary based on factors such","About $50,000 or $75,000 to about $200,000 to get started.",False,0,0.12765957446808512,"['msmarco_test_000048_pos_1', 'msmarco_test_000048_neg_4', 'msmarco_test_000048_neg_7']","['Your budget will limit your choices. The cost of entry varies greatly, by both the segment you choose and the franchise brand you select within that segment. While costs range from less than $10,000 to upwards of $5 million, the majority of franchises run from about $50,000 or $75,000 to about $200,000 to get started. For example, a Burger King will cost about $2.2 million for a typical restaurant--if you meet the minimum financial requirements of $1.5 million in net worth and $500,000 in liquid assets. Entry cost also will vary based on the size (population) of the territory awarded and the level of services and support.', 'At Nerd Force, which has a franchise fee of $12,000 for the first territory and $8,000 for each additional territory, total startup costs range from $25,100 to $54,000 for a territory with an approximate population of 120,000. An increasing number of franchisors offer discounts to veterans, minorities, and women. For example, a Burger King will cost about $2.2 million for a typical restaurant--if you meet the minimum financial requirements of $1.5 million in net worth and $500,000 in liquid assets. Entry cost also will vary based on the size (population) of the territory awarded and the level of services and support.', 'Low Cost Franchises. 129 Low Cost Franchises Opportunities Found.The following are the top Low Cost Franchises for sale on BizBuySell. Buying a Rotobrush International, US Lawns or other Low Cost Franchises can be a wise and fulfilling means towards business ownership. You may click to view more information on each franchise, but for complete franchise requirements, benefits and financial information use our Request List. ACFN the ATM Franchise Business. If you are looking for a part time franchise that can lead to financial independence with a strong long term residual income without the complexity of employees or the demanding schedule of... $35,000 - $50,000 Capital Required.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000048,True,True
msmarco_test_000057,bm25,True,"Totem poles are symbols representing the history and legends of the tribes, with figures on the poles representing parts of stories. Each figure on the totem represents a trait or characteristic of the clan or story it embodies. The carvings on a totem pole often depict animals, fish, birds, and designs, which",Represent characters or events in a story.,False,0,0.08,"['msmarco_test_000057_pos_4', 'msmarco_test_000057_neg_6', 'msmarco_test_000057_neg_3']","[""The word totem derives from the Algonquian (most likely Ojibwe) word odoodem [ oˈtuːtɛm ], his kinship group. Totem poles are not religious objects, but they do communicate important aspects of native culture. Carvings of animals and other characters typically represent characters or events in a story. Totem poles are the largest, but not the only objects that coastal Pacific Northwest natives use to depict family legends, animals, people, or historical events. The freestanding poles seen by the region's first European explorers were likely preceded by a long history of decorative carving."", 'TOTEM POLES OF THE GREAT NORTHWEST. The first totems were carved from mature cedar trees and used in the Potlatch ceremonies of families-clans of the Pacific Northwest, primarily Alaska and British Columbia. They were carved to represent the emblem of the family as a reminder of its history. A totem pole is a symbol of the qualities, experience and exploits of the clan. The totem carvings tell a story, revealed only if one knows the meaning assigned to various animals, fish, birds and designs and where they are placed on the pole.', 'Totem poles are sculptures carved from large trees, such as the Western Red Cedar. In North America, totem poles are part of the cultures of many indigenous peoples of Alaska, British Columbia and the Pacific Northwest. On these poles, each figure on the totem represents part of a story. These totems are used as a way to record the history and legends of the tribes. Figures on a totem pole are not gods to be worshipped. Instead, they represent traits and characteristics each clan or story embodies.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000057,True,True
msmarco_test_000070,bm25,True,"Yes, the pancreas has epithelial tissue. Specifically, it contains two types of epithelial tissues: serous acini from the exocrine portion and islets of Langerhans from the endocrine portion.",No,False,0,0.0,"['msmarco_test_000070_pos_3', 'msmarco_test_000070_neg_4', 'msmarco_test_000070_neg_6']","['Click on images for full-size photographs. The pancreas is a fatty-looking organ that is located in the mesenteries between stomach, duodenum, and ascending and transverse colons. The pancreas does not have a connective tissue capsule but is covered by loose vascular connective tissue of the mesenteries. Connective tissue septa divide the pancreas into lobes and lobules. The pancreas contains both exocrine (serous acini) and endocrine (islets of Langerhans) components. The acini have a small lumen and consist of secretory cells that have basophilic cytoplasm in their basal region and eosinophilic cytoplasm containing secretory granules in their apical region.', 'The pancreas is surrounded by a very thin connective tissue capsule that invaginates into the gland to form septae, which serve as scaffolding for large blood vessels. Further, these septae divide the pancreas into distinctive lobules, as can clearly be seen in the image of mouse pancreas below (H&E).', 'Secretory cells such as those found in epithelium lining the exocrine portion of pancreas (pancreatic acinar cells). These cells have active Golgi bodies located near the nucleus that produce membrane bound vesicles for exocytosis of digestive enzymes that are packaged within them.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000070,True,True
msmarco_test_000082,bm25,True,"Ethnography PDF refers to a written account of a people, place or institution as described in [1]. It involves recording and analyzing a culture or society through participant-observation and can also include descriptions of small tribal groups in exotic lands or classrooms in middle-class suburbs as mentioned in [2]. Additionally, it is a",Ethnography is the recording and analysis of a culture or society.,False,0,0.27586206896551724,"['msmarco_test_000082_pos_1', 'msmarco_test_000082_neg_3', 'msmarco_test_000082_neg_5']","['What is ethnography? Ethnography is the recording and analysis of a culture or society, usually based on participant-observation and resulting in a written account of a people, place or institution.', '--Marvin Harris and OrnaJohnson, 2000.Ethnography is the art and science of describing a group or culture. Thedescription may be of a small tribal group in an exotic land or a classroom inmiddle-class suburbia.. --David M. Fetterman, 1998.Ethnography is a social science research method. It relies heavily on up-close,personal experience and possible participation, not just observation, by researcherstrained in the art of ethnography. These ethnographers often work inmultidisciplinary teams.', 'Long-term engagement in the field setting or place where the ethnography takes place, is called participant observation. This is perhaps the primary source of ethnographic data. The term represents the dual role of the ethnographer.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000082,True,True
msmarco_test_000002,cross_encoder,True,"Cetirizine hydrochloride is a prescription and over-the-counter antihistamine medication used to relieve symptoms associated with allergies, including itching, runny nose, watery eyes, and sneezing. It can be taken in both regular form and combined with pseudoephedrine for additional relief of nasal",Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication.,False,0,0.35294117647058826,"['msmarco_test_000002_pos_1', 'msmarco_test_000002_neg_3', 'msmarco_test_000002_neg_6']","['Cetirizine hydrochloride is the generic name for a prescription and over-the-counter antihistamine medication. Doctors recommend cetirizine hydrochloride for the relief of symptoms associated with allergies. Cetirizine hydrochloride is available in its regular form and also in a combination therapy that includes pseudoephedrine, which is used to relieve nasal congestion in addition to allergy symptoms.', 'Last reviewed on RxList 4/2/2015. Zyrtec (cetirizine hydrochloride) is an antihistamine that treats symptoms, such as itching, runny nose, watery eyes, and sneezing from hay fever (allergic rhinitis) and other allergies, such as allergies to molds and dust mites. It is available in generic form. Common side effects of Zyrtec include: drowsiness, fatigue, dizziness, dry mouth, sore throat, cough, nausea, constipation, or headache. In children, stomach pain and vomiting may occur. Zyrtec is available as regular tablets and chewable tablets (5 mg and 10 mg) and syrup (1 mg/mL)', 'Cetirizine /sɛˈtɪrɨziːn/ (trade names Zirtec, Zyrtec, Reactine) is a second-generation antihistamine used in the treatment of hay fever, allergies, angioedema, and urticaria. It is a major metabolite of hydroxyzine, and a racemic selective H1 receptor antagonist. Like many other antihistamine medications, cetirizine is commonly prescribed in combination with pseudoephedrine hydrochloride, a decongestant. These combinations are marketed using the same brand name as the cetirizine with a -D suffix (Zyrtec-D, Virlix-D, etc.).']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000002,True,True
msmarco_test_000003,cross_encoder,True,"$10,000 a year","$10,000 and $30,000",False,0,0.4,"['msmarco_test_000003_neg_2', 'msmarco_test_000003_pos_1', 'msmarco_test_000003_neg_3']","[""You cannot play Augusta as a walk-on; you mu … st be invited as a guest of one of the club's members. Augusta National Golf Club has never disclosed the membership cost, but it is believed the initiation fee is between $10,000 and $30,000 with yearly dues costing between $3,000 and $10,000. Dining and lodging and other services are additional costs. The club has never disclosed how much membership costs, but it is believed to be around $10,000 a year. There is a very small membership base (of around 300 members) and the majority of the revenue is generated by The Masters Tournament, which is held every year in early April."", 'Augusta National Golf Club has never disclosed the membership cost, but it is believed the initiation fee is between $10,000 and $30,000 with yearly dues costing between $3,000 and $10,000. Dining and lodging and other services are additional costs. 1 However, golf does require a lot of practice in 2 …. Top Five Holes at Augusta National Golf Club The Masters Tournament is held at one of top three golf courses in the world, a course that is often ranked #1 or #2 in the USA, Augusta National Golf Club.', '1 According to an article in BusinessInsider, membership fees to the Augusta National Golf Club are about $10,000 a year. 2 A Huffington Post article states that the Augusta National Golf Club initiation fee is $10,000 to $30,000. 1 A bottle of wine at the club can run $1,000 each. 2 However, this does depend on the type of wine. 3 The cost for guests to play the golf course with a member is said to be approximately $40 per round.']",1,generation_failure,strict_short_answer,strict_short_answer_v1,msmarco_test_000003,True,True
